membre,Responsabilité
DIANI Mustapha,Doyen
OUARDOUZ Mustapha,Vice Doyen de la Recherche et de la coopération
JBILOU Mohammed,Vice Doyen de la Formation
ARHRIB Abdesslam,P.E.S
EL HARZLI Mohamed,P.E.S
EN-NAIMI El Mokhtar,P.E.S
ROSSI Abdelhamid,P.E.S
AMHARREF Mina,P.E.S (Désignée)
CHAFIK Tarik,P.E.S (Désigné)
AJDOUR Mounia,Chef du département de Physique
CHABBI Mohamed,Chef du département de Génie Chimique
EL HALIMI Rachid,Chef du département des Mathématiques
EL BRAK Mohamed,Chef du département de Génie Informatique
BOULAASSAL Hakim,Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim,Chef du département de Génie Électrique
ELAYACHI Ilham,Chef du département de Génie Mécanique
OUCHEN Mohamed,Chef du département de Langue et Communication
HASSANI ZERROUK Mounir,Chef du département des Sciences de la Vie
