name,responsibility
DIANI Mustapha,Doyen
JBILOU Mohammed,Vice Doyen de la Formation
OUARDOUZ Mustapha,Vice Doyen de la Recherche et de la coopération
BIHRI Hassan,SG chargé du secrétariat du conseil
AJDOUR Mounia,Chef du département de Physique
CHABBI Mohamed,Chef du département de Génie Chimique
EL HALIMI Rachid,Chef du département des Mathématiques
EL BRAK Mohamed,Chef du département de Génie Informatique
BOULAASSAL Hakim,Chef du département des Sciences de la Terre
HADJ BARAKA Ibrahim,Chef du département de Génie Électrique
ELAYACHI Ilham,Chef du département de Génie Mécanique
OUCHEN Mohamed,Chef du département de Langue et Communication
HASSANI ZERROUK Mounir,Chef du département des Sciences de la Vie
AOUNI Abdesamad,Représentant des P.E.S
BOUASSAB Abderrahman,Représentant des P.E.S
EL METOUI Mustapha,Représentant des P.E.S
EN-NAIMI El Mokhtar,Représentant des P.E.S
DERFOUFI Soufiane,Représentant des P.H
EL MERZGUIOUI Mhamed,Représentant des P.H
JEBARI HASSANI Khalid,Représentant des P.H
ZANOUNI Mohamed,Représentant des P.H
BOUAYAD Nouredin,Représentant des P.A
BOUZID Saida,Représentant des P.A
FIKRI BENBRAHIM Chahinaze,Représentant des P.A
KHALI ISSA  Sanae,Représentant des P.A
EL MAMOUN Abdellah,Représentant  des Personnels Administratifs et Techniques
MAAREF  Abdelkader,Représentant  des Personnels Administratifs et Techniques
EZ-ZHAR EL IDRISSI Mohammed Yassine,Représentant des étudiants
JAYED Youssef,Représentant des étudiants
